dataset,grouping,subID,condition,n_trials,ct_slope,sdi_slope
manuscript_exp2_fixed,current_coherence_label,815266,Low,115,-0.4926096973648236,0.044701070092287486
manuscript_exp2_fixed,current_coherence_label,885939,High,103,-0.4150931311057227,0.19953849934124762
manuscript_exp2_fixed,current_coherence_label,885939,Low,101,-0.3436334015090441,0.2268814771119797
manuscript_exp2_fixed,current_coherence_label,898122,High,94,-0.7444060181402955,-0.0311952035403043
manuscript_exp2_fixed,current_coherence_label,898122,Low,106,-0.7913251052324948,-0.16909188646019363
manuscript_exp2_fixed,same_switch_label,002046,Same,94,-0.5632137265462671,0.08563536081685211
manuscript_exp2_fixed,same_switch_label,002046,Switch,128,-0.6271886632821115,-1.951455235396811e-05
manuscript_exp2_fixed,same_switch_label,062573,Same,108,-0.6574369915013141,0.11960664630198145
manuscript_exp2_fixed,same_switch_label,062573,Switch,113,-0.5500324025670557,0.10638383865008105
manuscript_exp2_fixed,same_switch_label,082622,Same,101,-0.41517957893271346,0.0965784673288423
manuscript_exp2_fixed,same_switch_label,082622,Switch,129,-0.3498625934131996,0.07500940601144909
manuscript_exp2_fixed,same_switch_label,118354,Same,90,-0.20939702169739954,0.11031203536734378
manuscript_exp2_fixed,same_switch_label,118354,Switch,117,-0.2581682732666989,0.028535384862107195
manuscript_exp2_fixed,same_switch_label,169207,Same,103,-0.4306473495942965,0.12085334572185735
manuscript_exp2_fixed,same_switch_label,169207,Switch,122,-0.34490563360905646,0.04812780068419206
manuscript_exp2_fixed,same_switch_label,183923,Same,94,-0.07888637848676075,0.021299036482188817
manuscript_exp2_fixed,same_switch_label,183923,Switch,119,-0.30493496675498155,0.026214678545997808
manuscript_exp2_fixed,same_switch_label,184189,Same,92,-0.4116476347372562,0.18948544442852283
manuscript_exp2_fixed,same_switch_label,184189,Switch,115,-0.35782998119762816,0.13664855363905545
manuscript_exp2_fixed,same_switch_label,189058,Same,97,-0.42300178797960364,0.20455703441671558
manuscript_exp2_fixed,same_switch_label,189058,Switch,123,-0.48763708744196166,0.18592423887731513
manuscript_exp2_fixed,same_switch_label,194491,Same,87,-0.7684179736627585,0.06362753618501651
manuscript_exp2_fixed,same_switch_label,194491,Switch,111,-0.7667740420256249,0.140066499369658
manuscript_exp2_fixed,same_switch_label,203316,Same,108,-0.4460173497011622,0.08161417185562377
manuscript_exp2_fixed,same_switch_label,203316,Switch,113,-0.438428710426912,0.02948469997431781
manuscript_exp2_fixed,same_switch_label,298043,Same,102,-0.49343179475531773,0.0536888319707711
manuscript_exp2_fixed,same_switch_label,298043,Switch,112,-0.5031796780436775,0.03793103062202102
manuscript_exp2_fixed,same_switch_label,372056,Same,94,-0.6574674900365983,0.21614479248419338
manuscript_exp2_fixed,same_switch_label,372056,Switch,92,-0.6266701062549105,0.2071500774925572
manuscript_exp2_fixed,same_switch_label,469417,Same,98,-0.34755036638591047,0.1771968624865896
manuscript_exp2_fixed,same_switch_label,469417,Switch,103,-0.4419679534428037,0.13612634324916068
manuscript_exp2_fixed,same_switch_label,551900,Same,113,-0.469038368105351,0.0724056745106351
manuscript_exp2_fixed,same_switch_label,551900,Switch,111,-0.5530281745347609,0.06339950572988999
manuscript_exp2_fixed,same_switch_label,555268,Same,99,-0.4104756316807379,0.08113700449775615
manuscript_exp2_fixed,same_switch_label,555268,Switch,108,-0.4554734077309509,0.10588704181800593
manuscript_exp2_fixed,same_switch_label,611856,Same,97,-0.21738533135305588,0.10923044905364501
manuscript_exp2_fixed,same_switch_label,611856,Switch,132,-0.2641925445159392,-0.009586485037830234
manuscript_exp2_fixed,same_switch_label,624708,Same,92,-0.6011055761768189,0.24756234182554462
manuscript_exp2_fixed,same_switch_label,624708,Switch,100,-0.6693736669730912,0.1182124708164827
manuscript_exp2_fixed,same_switch_label,742322,Same,109,-0.736210556368794,0.1553133846337867
manuscript_exp2_fixed,same_switch_label,742322,Switch,105,-0.5678057784301165,0.13245362513807307
manuscript_exp2_fixed,same_switch_label,753780,Same,91,-0.6268640183371706,-0.029162936086687057
manuscript_exp2_fixed,same_switch_label,753780,Switch,100,-0.6083138996241032,0.040374652439760524
manuscript_exp2_fixed,same_switch_label,815266,Same,105,-0.5097385504442093,0.05982459963083962
manuscript_exp2_fixed,same_switch_label,815266,Switch,123,-0.47741336538571233,0.08480723912747268
manuscript_exp2_fixed,same_switch_label,885939,Same,97,-0.4558061184879969,0.17270928042912967
manuscript_exp2_fixed,same_switch_label,885939,Switch,107,-0.3272826530344294,0.22030759825684162
manuscript_exp2_fixed,same_switch_label,898122,Same,94,-0.7720804540053612,-0.03659717348119922
manuscript_exp2_fixed,same_switch_label,898122,Switch,106,-0.7678673213647931,-0.15416253029195431
