exp,Sub,source,grouping,condition,controlled_sdi
2,183923,pred,SameSwitch,Switch,0.0495182313292612
2,184189,Reproduction,current_uncertainty,HighUncertainty,0.2418093265174351
2,184189,Reproduction,current_uncertainty,LowUncertainty,0.0732659612612361
2,184189,Reproduction,SameSwitch,Repeat,0.2004440734557248
2,184189,Reproduction,SameSwitch,Switch,0.1301858282827032
2,184189,pred,current_uncertainty,HighUncertainty,0.151906786554312
2,184189,pred,current_uncertainty,LowUncertainty,0.1284207231475619
2,184189,pred,SameSwitch,Repeat,0.1515059887330629
2,184189,pred,SameSwitch,Switch,0.1214385238299455
2,189058,Reproduction,current_uncertainty,HighUncertainty,0.2040590655542791
2,189058,Reproduction,current_uncertainty,LowUncertainty,0.2134045341961665
2,189058,Reproduction,SameSwitch,Repeat,0.2438360775855605
2,189058,Reproduction,SameSwitch,Switch,0.1456956409370845
2,189058,pred,current_uncertainty,HighUncertainty,0.1997958139053126
2,189058,pred,current_uncertainty,LowUncertainty,0.1956921235740009
2,189058,pred,SameSwitch,Repeat,0.1745864369467265
2,189058,pred,SameSwitch,Switch,0.1869706860591023
2,194491,Reproduction,current_uncertainty,HighUncertainty,0.1683053145111924
2,194491,Reproduction,current_uncertainty,LowUncertainty,0.2146074564560244
2,194491,Reproduction,SameSwitch,Repeat,0.2444748401706771
2,194491,Reproduction,SameSwitch,Switch,0.1233973695429719
2,194491,pred,current_uncertainty,HighUncertainty,0.1323800796038418
2,194491,pred,current_uncertainty,LowUncertainty,0.1041008644663175
2,194491,pred,SameSwitch,Repeat,0.1061859543469425
2,194491,pred,SameSwitch,Switch,0.1159929162759141
2,203316,Reproduction,current_uncertainty,HighUncertainty,0.0893849883674111
2,203316,Reproduction,current_uncertainty,LowUncertainty,0.0914113076568443
2,203316,Reproduction,SameSwitch,Repeat,0.1074654764867928
2,203316,Reproduction,SameSwitch,Switch,0.0694242546259174
2,203316,pred,current_uncertainty,HighUncertainty,0.0969440317577636
2,203316,pred,current_uncertainty,LowUncertainty,0.0856393783750658
2,203316,pred,SameSwitch,Repeat,0.1170140761678973
2,203316,pred,SameSwitch,Switch,0.0629924147439296
2,298043,Reproduction,current_uncertainty,HighUncertainty,0.1424583709319821
2,298043,Reproduction,current_uncertainty,LowUncertainty,0.0636656025331765
2,298043,Reproduction,SameSwitch,Repeat,0.0845774087985968
2,298043,Reproduction,SameSwitch,Switch,0.1065966859649056
2,298043,pred,current_uncertainty,HighUncertainty,0.1178288319994369
2,298043,pred,current_uncertainty,LowUncertainty,0.094364388942767
2,298043,pred,SameSwitch,Repeat,0.1026681420361849
