dataset,lag,predictor,condition,subID,slope
experiment2,2,postDur2,Same,298043,-0.06651064799540386
experiment2,2,postDur2,Switch,298043,0.039936538043030864
experiment2,2,postDur2,Same,372056,-0.0013382682986811043
experiment2,2,postDur2,Switch,372056,-0.024439011110410018
experiment2,2,postDur2,Same,469417,0.16340892355346298
experiment2,2,postDur2,Switch,469417,-0.05954153047462779
experiment2,2,postDur2,Same,551900,0.06346072825792795
experiment2,2,postDur2,Switch,551900,0.021038612747361952
experiment2,2,postDur2,Same,555268,-0.09742163095768773
experiment2,2,postDur2,Switch,555268,0.08178656895625486
experiment2,2,postDur2,Same,611856,0.039294983843246825
experiment2,2,postDur2,Switch,611856,-0.06441948564737912
experiment2,2,postDur2,Same,624708,-0.08525271260692413
experiment2,2,postDur2,Switch,624708,0.05338277102745084
experiment2,2,postDur2,Same,742322,0.03885245489975493
experiment2,2,postDur2,Switch,742322,-0.08106129716007829
experiment2,2,postDur2,Same,753780,0.1478143673597468
experiment2,2,postDur2,Switch,753780,-0.023561790879250765
experiment2,2,postDur2,Same,815266,-0.052594279203122166
experiment2,2,postDur2,Switch,815266,-0.04072302504928822
experiment2,2,postDur2,Same,885939,-0.0914205716407019
experiment2,2,postDur2,Switch,885939,0.03516210562583061
experiment2,2,postDur2,Same,898122,-0.13659171466330516
experiment2,2,postDur2,Switch,898122,-0.1386782206775365
