exp,model_id,model_name,mean_AIC,sem_AIC,mean_BIC,mean_RMSE,n_subjects,success_rate,delta_AIC
2,C3_S2_B2,C_Q3__S_K_reset__B_B2,-114.69399421133093,21.557082185122137,-84.44393000194906,0.18265301305690454,22,1.0,2.0804429843277887
2,C3_S1_B2,C_Q3__S_x_reset__B_B2,-114.60139403153043,21.550363686343573,-84.35132982214856,0.1826763456391727,22,1.0,2.1730431641282877
2,C9_S1_B2,C_Q1_Q3__S_x_reset__B_B2,-114.4952254927472,21.432420736599855,-80.88404303787844,0.1818097447925813,22,1.0,2.2792117029115246
2,C9_S2_B2,C_Q1_Q3__S_K_reset__B_B2,-114.43246404549001,21.441843074938937,-80.82128159062125,0.18185307547777682,22,1.0,2.3419731501687124
2,C14_S0_B2,C_Q1_Q2_Q3__S_baseline__B_B2,-114.41580683959423,21.41566728668557,-80.80462438472546,0.181843664298177,22,1.0,2.358630356064495
2,C1_S0_B1,C_Q1__S_baseline__B_B1,-114.17641384554453,21.114471589415075,-87.2874678816495,0.1835285625754281,22,1.0,2.5980233501141896
2,C1_S0_B3,C_Q1__S_baseline__B_B3,-114.17111766964409,21.114733710152677,-87.28217170574908,0.1835309012673865,22,1.0,2.60331952601463
2,C2_S2_B2,C_Q2__S_K_reset__B_B2,-113.90289560278558,21.462011277900913,-83.65283139340369,0.18295236883392077,22,1.0,2.871541592873143
2,C4_S0_B2,C_R__S_baseline__B_B2,-113.76137800131947,20.747182200310665,-86.87243203742446,0.18353845478958924,22,1.0,3.013059194339249
2,C8_S2_B2,C_Q1_Q2__S_K_reset__B_B2,-113.70745583197177,21.358039311946904,-80.09627337710302,0.18212815951647252,22,1.0,3.066981363686949
2,C5_S0_B2,C_Q1_R__S_baseline__B_B2,-113.44215801866694,20.971312298150984,-83.19209380928505,0.18292069912240586,22,1.0,3.3322791769917757
2,C2_S1_B2,C_Q2__S_x_reset__B_B2,-113.34374636824427,21.41481046176704,-83.09368215886239,0.18315316692976022,22,1.0,3.430690827414452
2,C2_S0_B1,C_Q2__S_baseline__B_B1,-113.29422130973047,21.141003902099456,-86.40527534583545,0.18393099185813622,22,1.0,3.4802158859282457
2,C2_S0_B3,C_Q2__S_baseline__B_B3,-113.26840144976345,21.139042801709817,-86.37945548586843,0.18394123358008815,22,1.0,3.506035745895275
2,C1_S1_B3,C_Q1__S_x_reset__B_B3,-113.22288582120042,21.147930488450157,-82.97282161181855,0.1830858107217866,22,1.0,3.551551374458299
2,C8_S1_B2,C_Q1_Q2__S_x_reset__B_B2,-113.21427727703109,21.31945595656839,-79.60309482216233,0.18230666160248898,22,1.0,3.560159918627633
2,C1_S1_B1,C_Q1__S_x_reset__B_B1,-113.21205942510588,21.148302917013314,-82.96199521572402,0.18309056727165346,22,1.0,3.5623777705528425
2,C10_S2_B2,C_Q2_Q3__S_K_reset__B_B2,-113.05710300469774,21.51005283448096,-79.445920549829,0.18247699929255645,22,1.0,3.717334190960983
2,C8_S0_B1,C_Q1_Q2__S_baseline__B_B1,-113.01381755894514,21.08506200305712,-82.76375334956325,0.18315245071415226,22,1.0,3.760619636713585
2,C7_S0_B2,C_Q3_R__S_baseline__B_B2,-112.95124310122742,20.851679316837693,-82.70117889184554,0.18306573673796186,22,1.0,3.823194094431301
2,C8_S0_B3,C_Q1_Q2__S_baseline__B_B3,-112.86156791007802,21.097940471913088,-82.61150370069613,0.18322732258813607,22,1.0,3.9128692855806975
2,C10_S1_B2,C_Q2_Q3__S_x_reset__B_B2,-112.84708903858576,21.53345374706494,-79.235906583717,0.18256511237329007,22,1.0,3.927348157072956
2,C14_S2_B2,C_Q1_Q2_Q3__S_K_reset__B_B2,-112.8134860110531,21.411418614135947,-75.84118531069747,0.18167960615892653,22,1.0,3.9609511846056193
2,C12_S0_B2,C_Q1_Q3_R__S_baseline__B_B2,-112.76423712119008,21.08483760546323,-79.15305466632132,0.18239746012534971,22,1.0,4.010200074468642
2,C1_S2_B1,C_Q1__S_K_reset__B_B1,-112.52818742705222,21.10911969912644,-82.27812321767034,0.18336877146526814,22,1.0,4.2462497686065035
2,C3_S0_B1,C_Q3__S_baseline__B_B1,-112.49189456144865,21.179615986414113,-85.60294859755363,0.18429415013131056,22,1.0,4.282542634210074
2,C3_S0_B3,C_Q3__S_baseline__B_B3,-112.48745986143823,21.179859063067045,-85.59851389754323,0.1842961780600584,22,1.0,4.286977334220495
2,C14_S1_B2,C_Q1_Q2_Q3__S_x_reset__B_B2,-112.46154316478216,21.455222318794103,-75.48924246442652,0.18183745964554454,22,1.0,4.3128940308765635
2,C1_S2_B3,C_Q1__S_K_reset__B_B3,-112.38010172431227,21.113845503766733,-82.1300375149304,0.18343939226034758,22,1.0,4.3943354713464515
2,C9_S0_B1,C_Q1_Q3__S_baseline__B_B1,-112.18451123768372,21.113956350744854,-81.93444702830185,0.18352497665468093,22,1.0,4.589925957974998
2,C9_S0_B3,C_Q1_Q3__S_baseline__B_B3,-112.18245206501962,21.11424607325957,-81.93238785563776,0.18352597742803486,22,1.0,4.591985130639102
2,C6_S0_B2,C_Q2_R__S_baseline__B_B2,-112.14632431024899,20.725787637249436,-81.8962601008671,0.1833617273385607,22,1.0,4.628112885409735
