Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,412.4544,1,412.4571,,,,414.7911,415.2902,414.2874,414.7909,413.4704,134,414.2873,415.2903,415.7863,415.7865,417.4723,1373,417.4725,5,418.4687,1,1,31,15,1,0.8,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,418.4695,1,418.4697,,,,420.9889,421.4843,420.4877,420.9888,419.4857,354,420.4876,421.4843,421.9845,421.9847,424.0837,1632.9,424.0841,5,425.0834,1,2,32,21,1,1,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,425.0842,1,425.0844,,,,428.236,428.7361,427.7165,428.2359,426.1004,268,427.7164,428.7361,429.2319,429.2321,430.02,443,430.0202,1,431.0146,1,3,33,14,1,1.6,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,431.0151,1,431.0153,,,,433.764,434.2635,433.2479,433.7639,432.0316,348,433.2478,434.2635,434.7635,434.7636,437.3629,2311.4,437.3632,5,438.3623,1,4,34,7,1,1.2,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,438.3629,1,438.363,,,,441.312,441.811,440.7957,441.3119,439.3789,92,440.7956,441.8111,442.311,442.311,445.027,2070.4,445.0274,5,446.0263,1,5,35,23,1,1.4,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,446.0269,1,446.0271,,,,449.1761,449.6753,448.6597,449.176,447.0435,52,448.6595,449.6753,450.1753,450.1753,453.2746,1666.8,453.2749,3,454.2739,1,6,36,9,1,1.6,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,454.2745,1,454.2747,,,,456.8238,457.3232,456.3075,456.8237,455.2909,203,456.3074,457.3233,457.8233,457.8234,460.8552,1855.2,460.8553,5,461.8552,1,7,37,26,1,1,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,461.8561,1,461.8562,,,,464.3883,464.8871,463.8719,464.3881,462.859,144,463.8718,464.8872,465.3873,465.3875,471.4028,9999,471.403,0,472.4016,1,8,38,6,1,1,0.7,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,472.4029,1,472.403,,,,475.3518,475.8552,474.8354,475.3516,473.4189,163,474.8352,475.8552,476.3508,476.3509,478.3701,1341.9,478.3703,3,479.3663,1,9,39,3,1,1.4,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,479.3671,1,479.3673,,,,482.1162,482.6156,481.5997,482.1161,480.3836,131,481.5995,482.6158,483.1148,483.1148,485.6816,1583.6,485.6819,5,486.6805,1,10,40,12,1,1.2,0.3,Time
,,S07,184189,001,Male,27,2025-05-21_03h48.45.882,Serial_Dependence_U,2023.2.3,Win32,60.24096386,67d7d3d51a5476f5196bab78,682cd3dfea4e15896da7c0a6,682d84aee36e76003a321413,,,,,,,,,,,,486.6812,1,486.6815,,,,489.4303,489.9295,488.9134,489.4301,487.6975,55,488.9134,489.9296,490.4292,490.4293,496.4446,9999,496.4447,0,497.4443,1,11,41,2,1,1.2,0.3,Time
